Nome|CPF|Agência|Conta|Valor|Mês de Referência
Alana Barros|491.365.270-25|1557|21988-7|9995.88|08/24
Ana Laura Cavalcanti|216.340.587-71|2828|54153-9|9181.74|08/24
Raquel Silveira|143.079.625-16|9290|87123-8|4383.51|08/24
Murilo Silva|968.714.520-01|7098|18548-3|2279.81|08/24
Alice Rocha|805.193.246-33|7487|21648-1|3364.66|08/24
Noah Pinto|536.128.947-73|2823|15979-8|6295.70|08/24
Cauê Melo|437.928.506-56|9798|83361-0|4229.07|08/24
Dr. Joaquim Campos|708.394.615-93|6816|86048-4|1595.64|08/24
Melissa Martins|564.192.380-05|8247|75471-0|1343.48|08/24
Helena Santos|536.072.418-80|1277|86440-3|8789.69|08/24
Vinicius Cavalcanti|631.427.589-09|6844|78379-0|8493.05|08/24
Luiz Otávio da Rosa|974.283.650-74|3146|21519-0|7245.86|08/24
Ana Luiza Pinto|680.219.734-04|5674|77624-0|1037.17|08/24
Ana Sophia Fogaça|461.087.592-67|1927|13423-2|4293.51|08/24
Noah Costela|857.924.160-01|2300|24165-7|4688.19|08/24
Isis Peixoto|423.785.601-17|8389|70460-9|1030.75|08/24
Vitor Hugo da Cruz|860.479.123-03|5342|18597-4|8511.79|08/24
Thiago Pereira|306.792.154-25|2551|33905-9|9972.42|08/24
Thiago Pinto|916.782.034-40|8728|40023-3|1131.65|08/24
Srta. Mariane Mendes|632.740.815-07|6440|51649-2|2377.72|08/24
Igor Nascimento|389.546.172-55|5509|90074-4|4719.75|08/24
Srta. Cecília Freitas|381.045.962-33|7702|92016-8|3184.73|08/24
Rodrigo Rezende|721.480.359-32|1735|24535-3|1193.69|08/24
Dra. Lavínia Moreira|608.329.741-96|2054|16207-0|1948.33|08/24
Ana Silveira|598.713.426-91|9499|81256-0|5210.41|08/24
Maria Cecília Porto|621.904.758-30|5429|71244-9|8415.69|08/24
Davi Lucas Sales|036.895.724-10|5021|31872-2|2201.38|08/24
Emilly Ramos|934.562.078-83|3520|68748-1|1524.88|08/24
Valentina Oliveira|490.372.518-97|8158|54565-2|8392.56|08/24
Sr. Isaac Fernandes|498.076.215-85|8167|49987-5|1462.95|08/24
Thiago Cunha|415.260.938-98|7186|11415-9|7562.98|08/24
Thomas Moreira|027.486.359-65|6276|18490-7|4302.51|08/24
Noah Gomes|071.324.865-35|1504|68387-3|4616.96|08/24
Joaquim Mendes|579.143.086-84|7161|46174-8|6290.41|08/24
João Guilherme Jesus|852.794.016-76|9461|42054-5|6478.23|08/24
Melissa Oliveira|738.915.620-12|9700|51978-9|5441.22|08/24
Levi Carvalho|547.186.023-35|7544|58210-4|1895.90|08/24
João Gabriel Azevedo|920.486.513-05|3552|89718-3|4982.99|08/24
Sra. Melissa Freitas|953.482.671-55|8916|58237-4|5738.67|08/24
Daniel Aragão|613.792.580-30|4739|17460-3|4729.73|08/24
Vicente Sales|876.209.431-96|3767|73547-5|3386.36|08/24
Ana Júlia Cardoso|713.426.908-69|8763|59043-6|7562.93|08/24
Larissa Teixeira|539.847.162-73|6215|23047-2|8724.77|08/24
Sr. João Santos|014.572.896-01|9239|12861-7|3873.12|08/24
Srta. Camila Gonçalves|967.503.824-10|9107|58113-3|7132.93|08/24
Isadora Farias|961.582.037-77|7529|78669-9|5774.46|08/24
Kaique Santos|325.490.681-06|2636|43516-8|8176.38|08/24
Mariana Lopes|826.753.094-00|7654|77908-4|5151.66|08/24
Vitória Fogaça|412.068.573-07|8197|98658-7|1895.69|08/24
Daniela Moraes|278.391.054-32|1303|60558-3|3227.75|08/24
